Day,Rate (%)
7,0.14981
14,0.1725
19,0.17595
47,0.23118
82,0.2515
110,0.26103
138,0.26977
173,0.2798
201,0.28884
292,0.31252
383,0.34541
474,0.38802
565,0.43892
656,0.49956
747,0.57191
838,0.65709
929,0.75378
1020,0.85979
1118,0.98024
1209,1.09551
1293,1.20457
1391,1.33065
1482,1.44613
1573,1.559
1664,1.66998
1755,1.77778
1846,1.88238
1937,1.98352
2028,2.08144
2119,2.17547
2210,2.26588
2301,2.35272
2392,2.43581
2483,2.51482
2574,2.59003
2665,2.66181
2756,2.7305
2847,2.7956
2938,2.85791
3029,2.91738
3120,2.97455
3211,3.02904
3309,3.0849
3400,3.13462
3484,3.17912
3582,3.2288
